variant,LOO_R2,n,AUROC,cgm_set
omics_top5_alone,0.1506,19,,
omics_top5+CGM14,-0.3595,19,,
omics_top10_alone,-0.1778,19,,
omics_top10+CGM14,-1.0336,19,,
omics_top15_alone,0.0049,19,,
omics_top15+CGM14,-0.1572,19,,
(b)force_top10omics+CGM14,-1.0336,19,,
IRIS_omics_top5_alone,,19,0.0,
IRIS_omics_top5+CGM14,,19,0.4556,
IRIS_omics_top10_alone,,19,0.0,
IRIS_omics_top10+CGM14,,19,0.5111,
IRIS_omics_top15_alone,,19,0.0,
IRIS_omics_top15+CGM14,,19,0.4,
omics_top10_alone,-0.1778,19,,none
omics_top10+CGM_expanded26,-0.2116,19,,standard14+rich12
