analyte,mean_abs_shap,native_gain,consensus_freq,rank_shap,rank_gain
HDL,9.8664,0.039,0.186,1,5
pRPLC_180.0654_2,8.0808,0.0329,0.983,2,8
TGL,6.5964,0.0376,0.0,3,7
K02986,5.8741,0.1709,0.0,4,1
K03630,4.8578,0.0265,0.017,5,11
genus_Clostridium.XlVa,3.7666,0.0148,0.0,6,17
genus_unclassified_Ruminococcaceae,3.7301,0.0664,0.0,7,4
K00705,3.6956,0.0252,0.983,8,12
MCAM,3.4075,0.006,0.831,9,31
K00688,3.2714,0.0299,0.0,10,10
genus_Blautia,3.1461,0.0099,0.017,11,22
APOD,2.8956,0.0121,0.0,12,18
pHILIC_147.1126_15.9,2.808,0.0054,0.017,13,33
APOC4,2.5794,0.0078,0.0,14,24
K00762,2.4876,0.0113,0.0,15,20
TG_HDL_ratio,2.431,0.0239,0.0,16,14
K02601,2.3076,0.0174,0.0,17,15
K00788,2.2406,0.0033,0.0,18,42
genus_Coprococcus,2.2247,0.0053,0.0,19,34
EGFR,1.9006,0.0039,0.0,20,39
